,City,Temp(F),Cloudiness,Humidity,Wind Speed (mph),Latitude,Longitude,Country
0,Ushuaia,42.46,40,61,14.97,-54.8,-68.3,AR
1,Walvis Bay,58.15,35,94,5.75,-22.9575,14.5053,NA
2,Tiksi,13.19,100,86,13.18,71.6872,128.8694,RU
3,Bambous Virieux,70.05,40,83,11.5,-20.3428,57.7575,MU
4,Butaritari,81.99,98,77,14.09,3.0707,172.7902,KI
5,Qaanaaq,5.18,90,61,7.9,77.484,-69.3632,GL
6,Lavrentiya,29.05,10,51,8.25,65.5833,-171.0,RU
7,Saskylakh,10.62,48,95,8.97,71.9167,114.0833,RU
8,Nikolskoye,44.19,5,86,6.96,59.7035,30.7861,RU
9,Hilo,80.33,75,88,16.11,19.7297,-155.09,US
10,Bredasdorp,66.07,100,53,5.66,-34.5322,20.0403,ZA
11,Zemio,68.2,100,98,3.13,5.0314,25.1361,CF
12,Skibbereen,46.94,30,80,0.43,51.55,-9.2667,IE
13,Punta Arenas,44.71,75,65,4.61,-53.15,-70.9167,CL
14,Dunedin,48.79,100,83,8.99,-45.8742,170.5036,NZ
15,Port Alfred,66.18,100,87,11.99,-33.5906,26.891,ZA
16,Namatanai,85.44,6,59,3.78,-3.6667,152.4333,PG
17,Kirakira,82.9,28,72,5.21,-10.4544,161.9205,SB
18,Castro,57.63,100,97,7.61,-24.7911,-50.0119,BR
19,Kulhudhuffushi,81.14,100,80,20.27,6.6221,73.07,MV
20,Ambunti,82.29,100,78,3.74,-4.2365,142.8448,PG
21,Temozon,74.08,100,97,1.61,20.8,-88.2167,MX
22,Arman',32.02,93,63,5.28,59.7,150.1667,RU
23,Albany,45.41,3,91,3.36,42.6001,-73.9662,US
24,Sokolo,86.31,96,36,1.72,14.7328,-6.1219,ML
25,Troitskoye,40.66,100,82,11.14,52.9821,84.6757,RU
26,Thompson,62.76,20,48,10.36,55.7435,-97.8558,CA
27,Boa Vista,78.78,20,78,4.61,2.8197,-60.6733,BR
28,Port Elizabeth,66.11,0,89,4.61,-33.918,25.5701,ZA
29,Gigmoto,84.2,100,77,9.15,13.7796,124.39,PH
30,Bethel,51.37,0,81,0.0,41.3712,-73.414,US
31,Bilma,81.39,0,20,4.61,18.6853,12.9164,NE
32,Rikitea,71.98,19,73,3.27,-23.1203,-134.9692,PF
33,Ulaangom,37.94,8,53,2.44,49.9811,92.0667,MN
34,Belmonte,75.22,13,80,9.75,-15.8631,-38.8828,BR
35,Sittwe,79.41,91,86,4.63,20.15,92.9,MM
36,Tuatapere,51.24,76,63,12.33,-46.1333,167.6833,NZ
37,Adeje,67.89,20,73,5.75,28.1227,-16.726,ES
38,Obihiro,60.21,82,86,4.03,42.9172,143.2044,JP
39,Mataura,52.05,99,55,8.5,-46.1927,168.8643,NZ
40,Templin,49.1,0,92,8.52,53.1186,13.5022,DE
41,Mount Gambier,63.63,100,52,12.64,-37.8333,140.7667,AU
42,Jamestown,47.75,0,67,5.75,42.097,-79.2353,US
43,Francistown,68.23,0,68,10.85,-21.17,27.5079,BW
44,Cayenne,80.64,20,89,3.44,4.9333,-52.3333,GF
45,Pimentel,62.67,44,86,16.22,-6.8367,-79.9342,PE
46,Bodaybo,36.77,100,92,1.36,57.8506,114.1933,RU
47,College,33.01,75,79,5.75,64.8569,-147.8028,US
48,Khāsh,55.53,0,12,2.37,28.2211,61.2158,IR
49,Margasari,80.74,100,80,5.3,-7.1,109.0167,ID
50,Torbay,45.09,20,81,6.91,47.6666,-52.7314,CA
51,Bluff,49.41,76,60,15.28,-46.6,168.3333,NZ
52,Paraúna,70.63,20,79,7.74,-16.9478,-50.4486,BR
53,Hithadhoo,81.12,100,78,18.99,-0.6,73.0833,MV
54,Norman Wells,33.84,100,80,26.46,65.282,-126.8329,CA
55,Kapaa,82.0,100,68,8.05,22.0752,-159.319,US
56,Chato,68.36,93,78,3.96,-2.6378,31.7669,TZ
57,Japura,75.0,100,83,0.96,-0.3167,102.35,ID
58,Conceição do Araguaia,83.52,100,30,4.09,-8.2578,-49.2647,BR
59,Pisco,60.85,0,82,19.57,-13.7,-76.2167,PE
60,Vaini,78.96,40,73,24.16,-21.2,-175.2,TO
61,Ponta do Sol,71.04,10,72,5.99,32.6667,-17.1,PT
62,Saint-Joseph,70.18,26,80,9.31,-21.3667,55.6167,RE
63,Kodinsk,40.8,100,95,7.43,58.6881,99.1844,RU
64,Talara,65.16,0,77,16.11,-4.5772,-81.2719,PE
65,Busselton,55.69,100,62,12.21,-33.65,115.3333,AU
66,Chipata,65.21,7,38,5.06,-13.6333,32.65,ZM
67,Olafsvik,38.68,100,78,18.97,64.8945,-23.7142,IS
68,Mokhsogollokh,29.17,96,82,4.83,61.4681,128.9203,RU
69,Sault Ste. Marie,44.74,0,67,6.91,46.5168,-84.3333,CA
70,Yeniseysk,42.1,100,93,11.7,58.4497,92.1703,RU
71,Gillette,64.58,0,28,4.61,44.2911,-105.5022,US
72,Kangāvar,58.28,5,32,1.79,34.5043,47.9653,IR
73,Mar del Plata,51.64,0,75,18.01,-38.0023,-57.5575,AR
74,Atchison,67.3,89,51,5.41,39.563,-95.1216,US
75,Izazi,67.48,7,62,3.56,-7.2,35.7333,TZ
76,Nandu,66.36,6,34,4.54,22.8525,110.8233,CN
77,Ribeira Grande,69.78,14,87,1.99,38.5167,-28.7,PT
78,Atuona,77.07,30,69,14.81,-9.8,-139.0333,PF
79,Airai,70.9,100,58,2.26,-8.9266,125.4092,TL
80,New Norfolk,59.61,100,56,1.99,-42.7826,147.0587,AU
81,Lewisporte,42.55,6,73,5.5,49.2499,-55.0482,CA
82,Wad Medani,80.51,5,49,3.71,14.4012,33.5199,SD
83,Iqaluit,22.69,40,79,9.22,63.7506,-68.5145,CA
84,Caucayá,72.28,100,95,1.92,-0.1934,-74.7819,CO
85,Longyearbyen,33.64,20,69,13.8,78.2186,15.6401,SJ
86,Kazachinskoye,42.66,100,87,12.55,57.6953,93.2761,RU
87,Hernani,62.91,99,89,2.71,43.2662,-1.9762,ES
88,Yellowknife,50.52,40,62,6.91,62.456,-114.3525,CA
89,Barabai,74.48,100,97,0.94,-2.5833,115.3833,ID
90,Nantucket,58.06,0,78,8.05,41.2835,-70.0995,US
91,Kudahuvadhoo,81.3,100,79,21.74,2.6708,72.8944,MV
92,Hualmay,62.31,51,84,10.98,-11.0964,-77.6139,PE
93,Klaksvík,40.12,100,65,16.53,62.2266,-6.589,FO
94,Aykhal,25.16,92,99,7.83,66.0,111.5,RU
95,Avarua,77.05,100,69,21.85,-21.2078,-159.775,CK
96,Arbuzynka,41.99,0,79,8.1,47.9097,31.3196,UA
97,Calvinia,64.09,100,41,4.65,-31.4707,19.776,ZA
98,Redlands,80.2,100,51,6.17,34.0556,-117.1825,US
99,Mora,77.67,73,65,6.31,11.0461,14.1401,CM
100,Lorengau,84.83,42,57,7.61,-2.0226,147.2712,PG
101,Bonfim,80.51,78,68,7.2,3.0833,-59.95,BR
102,Hermanus,66.92,99,60,12.1,-34.4187,19.2345,ZA
103,Cabo San Lucas,88.12,0,66,9.22,22.8909,-109.9124,MX
104,Departamento de Maldonado,51.19,5,88,6.62,-34.6667,-54.9167,UY
105,Korla,54.7,98,41,16.37,41.7597,86.1469,CN
106,Esperance,57.04,100,63,19.98,-33.8667,121.9,AU
107,Senneterre,33.12,100,92,6.17,48.3835,-77.2328,CA
108,Saint George,78.64,0,25,13.8,37.1041,-113.5841,US
109,Naifaru,81.18,39,80,20.27,5.4444,73.3657,MV
110,Saint-Augustin,39.56,77,62,10.6,51.226,-58.6502,CA
111,Zeya,40.68,0,58,5.61,53.75,127.2667,RU
112,Weihai,59.7,0,43,14.58,37.5017,122.1136,CN
113,San Andrés,80.62,40,89,5.75,12.5847,-81.7006,CO
114,Chui,48.38,0,78,5.95,-33.6971,-53.4616,UY
115,Upernavik,17.55,100,67,3.8,72.7868,-56.1549,GL
116,Parabel',45.63,100,87,14.12,58.6978,81.4825,RU
117,Husavik,20.5,81,89,15.12,66.0449,-17.3389,IS
118,Touros,77.92,12,78,17.63,-5.1989,-35.4608,BR
119,Oktyabr'skiy,49.41,100,66,0.49,54.4815,53.471,RU
120,Puerto Ayora,66.54,94,91,8.01,-0.7393,-90.3518,EC
121,Porto Santo,70.18,40,83,11.5,33.072,-16.3415,PT
122,Diffa,83.01,9,21,7.63,13.3154,12.6113,NE
123,Mayo,52.99,0,86,0.0,38.8876,-76.5119,US
124,Pāsighāt,72.64,100,97,1.25,28.0667,95.3333,IN
125,Broken Hill,68.0,100,25,10.85,-31.95,141.4333,AU
126,Levice,54.5,100,55,3.53,48.2156,18.6071,SK
127,Omsukchan,17.51,82,84,3.36,62.5333,155.8,RU
128,Yangi Marg`ilon,48.92,0,61,9.22,40.4272,71.7189,UZ
129,Cape Town,63.03,0,70,9.22,-33.9258,18.4232,ZA
130,Rio Grande,56.91,100,79,14.65,-32.035,-52.0986,BR
131,Hong Kong,72.68,41,48,15.01,22.2855,114.1577,HK
132,Nuuk,36.21,100,87,2.3,64.1835,-51.7216,GL
133,Omboué,75.7,100,90,5.86,-1.5746,9.2618,GA
134,Tonj,69.78,100,93,3.06,7.2737,28.6822,SS
135,Klæbu,41.36,98,81,14.56,63.2976,10.4826,NO
